label,cluster_no
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,2
pigeonpeas,4
pigeonpeas,2
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,2
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,2
pigeonpeas,7
pigeonpeas,2
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,2
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,2
pigeonpeas,2
pigeonpeas,5
pigeonpeas,5
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,4
pigeonpeas,2
pigeonpeas,4
pigeonpeas,4
pigeonpeas,2
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,2
pigeonpeas,4
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,5
pigeonpeas,4
pigeonpeas,5
pigeonpeas,1
pigeonpeas,4
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,4
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,2
mothbeans,4
mothbeans,4
mungbean,2
mungbean,2
mungbean,2
mungbean,2
